Goldshire Footman,1,b,1,2,TRUE,FALSE,FALSE
Stonetusk Boar,1,b,1,1,FALSE,FALSE,TRUE
Bloodfen Raptor,2,b,3,2,FALSE,FALSE,FALSE
Frostwolf Grunt,2,b,2,2,TRUE,FALSE,FALSE
Wolfrider,3,b,3,1,FALSE,FALSE,TRUE
Chilwind Yeti,4,b,4,5,FALSE,FALSE,FALSE
Boulderfist Ogre,6,b,6,7,FALSE,FALSE,FALSE
Core Hound,7,b,9,5,FALSE,FALSE,FALSE
Argent Commander,6,r,4,2,FALSE,TRUE,TRUE
Sunwalker,6,r,4,5,TRUE,TRUE,FALSE
Chromaggus,8,l,6,8,FALSE,FALSE,FALSE
The LichKing,8,l,10,10,TRUE,FALSE,FALSE
Icehowl,9,l,10,10,FALSE,FALSE,TRUE
Colossus of the Moon,10,l,10,10,FALSE,TRUE,FALSE
